congress,icpsr,statecode,district,state,party,occupancy,means,name,V0001,V0002,V0003,V0004,V0005,V0006,V0007,V0008,V0009,V0010,V0011,V0012,V0013,V0014,V0015,V0016,V0017,V0018,V0019,V0020,V0021,V0022,V0023,V0024,V0025,V0026,V0027,V0028,V0029,V0030,V0031,V0032,V0033,V0034,V0035,V0036,V0037,V0038,V0039,V0040,V0041,V0042,V0043,V0044,V0045,V0046,V0047,V0048,V0049,V0050,V0051,V0052,V0053,V0054,V0055,V0056,V0057,V0058,V0059,V0060,V0061,V0062,V0063,V0064,V0065,V0066,V0067,V0068,V0069,V0070,V0071,V0072,V0073,V0074,V0075,V0076,V0077,V0078,V0079,V0080,V0081,V0082,V0083,V0084,V0085,V0086,V0087,V0088,V0089,V0090,V0091,V0092,V0093,V0094,V0095,V0096,V0097,V0098,V0099,V0100,V0101,V0102,V0103,V0104,V0105,V0106,V0107,V0108,V0109,V0110,V0111,V0112,V0113,V0114,V0115,V0116,V0117,V0118,V0119,V0120,V0121,V0122,V0123,V0124,V0125,V0126,V0127,V0128,V0129,V0130,V0131,V0132,V0133,V0134,V0135,V0136,V0137,V0138,V0139,V0140,V0141,V0142,V0143,V0144,V0145,V0146,V0147,V0148,V0149,V0150,V0151,V0152,V0153,V0154,V0155,V0156,V0157,V0158,V0159,V0160,V0161,V0162,V0163,V0164,V0165,V0166,V0167,V0168,V0169,V0170,V0171,V0172,V0173,V0174,V0175,V0176,V0177,V0178,V0179,V0180,V0181,V0182,V0183,V0184,V0185,V0186,V0187,V0188,V0189,V0190,V0191,V0192,V0193,V0194,V0195,V0196,V0197,V0198,V0199,V0200,V0201,V0202,V0203,V0204,V0205,V0206,V0207,V0208,V0209,V0210,V0211,V0212,V0213,V0214,V0215,V0216,V0217,V0218,V0219,V0220,V0221,V0222,V0223,V0224,V0225,V0226,V0227,V0228,V0229,V0230,V0231,V0232,V0233,V0234,V0235,V0236,V0237,V0238,V0239,V0240,V0241,V0242,V0243,V0244,V0245,V0246,V0247,V0248,V0249,V0250,V0251,V0252,V0253,V0254,V0255,V0256,V0257,V0258,V0259,V0260,V0261,V0262,V0263,V0264,V0265,V0266,V0267,V0268,V0269,V0270,V0271,V0272,V0273,V0274,V0275,V0276,V0277,V0278,V0279,V0280,V0281,V0282,V0283,V0284,V0285,V0286,V0287,V0288,V0289,V0290,V0291,V0292,V0293,V0294,V0295,V0296,V0297,V0298,V0299,V0300,V0301,V0302,V0303,V0304,V0305,V0306,V0307,V0308,V0309,V0310,V0311,V0312,V0313,V0314,V0315,V0316,V0317,V0318,V0319,V0320,V0321,V0322,V0323,V0324,V0325,V0326,V0327,V0328,V0329,V0330,V0331,V0332,V0333,V0334,V0335,V0336,V0337,V0338,V0339,V0340,V0341,V0342,V0343,V0344,V0345,V0346,V0347,V0348,V0349,V0350,V0351,V0352,V0353,V0354,V0355,V0356,V0357,V0358,V0359,V0360,V0361,V0362,V0363,V0364,V0365,V0366,V0367,V0368,V0369,V0370,V0371,V0372,V0373,V0374,V0375,V0376,V0377,V0378,V0379,V0380,V0381,V0382,V0383,V0384,V0385,V0386,V0387,V0388,V0389,V0390,V0391,V0392,V0393,V0394,V0395,V0396,V0397,V0398,V0399,V0400,V0401,V0402,V0403,V0404,V0405,V0406,V0407,V0408,V0409,V0410,V0411,V0412,V0413,V0414,V0415,V0416,V0417,V0418,V0419,V0420,V0421,V0422,V0423,V0424,V0425,V0426,V0427,V0428,V0429,V0430,V0431,V0432,V0433,V0434,V0435,V0436,V0437,V0438,V0439,V0440,V0441,V0442,V0443,V0444,V0445,V0446,V0447,V0448,V0449,V0450,V0451,V0452,V0453,V0454,V0455,V0456,V0457,V0458,V0459,V0460,V0461,V0462,V0463,V0464,V0465,V0466,V0467,V0468,V0469,V0470,V0471,V0472,V0473,V0474,V0475,V0476,V0477,V0478,V0479,V0480,V0481,V0482,V0483,V0484,V0485,V0486,V0487,V0488,V0489,V0490,V0491,V0492,V0493,V0494,V0495,V0496,V0497,V0498,V0499,V0500,V0501,V0502,V0503,V0504,V0505,V0506,V0507,V0508,V0509,V0510,V0511,V0512,V0513,V0514,V0515,V0516,V0517,V0518,V0519,V0520,V0521,V0522,V0523,V0524,V0525,V0526,V0527,V0528,V0529,V0530,V0531,V0532,V0533,V0534,V0535,V0536,V0537,V0538,V0539,V0540,V0541,V0542,V0543,V0544,V0545,V0546,V0547,V0548,V0549,V0550
102,99908,99,0,USA,200,0,0,BUSH,6,1,9,9,1,9,9,9,1,9,1,9,9,9,6,9,9,9,9,9,1,1,1,1,1,9,9,9,9,1,9,6,1,6,1,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,9,9,6,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,9,6,6,9,9,9,9,9,9,1,1,9,9,9,9,1,1,1,9,1,6,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,1,9,9,9,6,9,9,9,9,9,9,9,9,9,6,9,9,9,6,6,1,6,9,9,1,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,9,1,1,6,6,9,1,6,9,9,9,9,6,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,6,9,9,6,9,9,9,6,1,1,9,6,1,9,9,6,9,6,9,9,9,6,9,6,9,9,9,6,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,1,9,9,6,9,6,9,9,9,1,9,1,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,6,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,6,9,9,1,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,9,6,9,9,1,9,1,1,9,9,9,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,1,1,6,6,9,6,9,9,9,9,9,9,9,9,9,6,9,9,6,9,9,9,9,9,9,9,9,9,9,1,1,9,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,1,9,6,9,9,9,9,9,1,9,9,1,9,9,6,9,9,9,9,1,9,9,9,9,9,9,1,9,9,1,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,1,6,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,9,6,9,9,6,9,6,6,9,6,1,9,9,9,9,6,6,9,9,9,9,9,6,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,6,1,6,6,9,9,9,9,9,9,6,9,6,9,9,9,9,9,9
102,12109,81,0,ALASKA,200,0,0,STEVENS,6,1,1,1,1,1,1,1,1,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,6,1,6,6,1,6,6,1,1,1,1,1,6,6,1,1,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,6,9,6,6,6,1,6,6,6,1,6,6,6,6,1,6,1,6,6,6,6,6,6,6,1,1,1,1,6,1,1,1,1,6,1,6,1,1,1,1,1,1,6,6,6,1,1,6,1,1,1,6,6,6,1,1,1,6,1,1,6,1,6,1,1,6,6,1,1,6,1,6,1,1,1,1,6,6,6,6,1,1,1,1,1,1,6,6,1,1,6,1,6,6,1,1,1,1,1,6,1,6,1,1,6,6,6,1,1,1,6,6,9,9,9,1,1,1,6,6,1,1,6,1,1,6,1,6,1,1,1,1,1,6,1,6,6,1,6,1,6,1,6,1,1,6,6,1,1,6,6,1,1,1,1,1,6,1,6,1,1,1,6,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,6,6,1,6,1,1,1,1,1,1,6,1,1,6,1,6,1,1,1,1,1,9,9,9,9,1,1,1,1,1,1,6,6,1,6,1,1,1,6,6,1,1,9,9,9,1,6,1,1,1,1,1,1,1,1,6,1,6,1,6,1,1,1,1,6,1,6,1,1,1,6,1,1,1,1,6,6,6,6,1,6,6,6,1,1,6,1,1,6,1,1,6,1,6,6,1,1,1,1,1,1,6,1,6,1,1,6,1,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,1,1,1,6,1,1,6,1,1,1,1,1,1,6,1,1,1,6,6,1,6,1,1,6,1,1,6,6,6,6,6,1,1,1,1,6,1,1,6,1,6,1,1,1,1,1,1,1,6,1,9,9,9,6,6,1,1,1,1,1,1,1,6,1,1,1,6,1,1,1,1,6,1,6,1,1,6,6,1,6,1,1,1,1,1,1,1,1,6,1,6,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,6,6,6,6,6,1,6,1,6,6,1,1,6,1,6,6,1,6,6,1,1,1,6,6,6,1,6,6,1,1,1,1,1,1,1,6,1,6,1,6,6,1,6,1,6,1,1,6,1,1,6,1,1,6,6,1,6,1,1,1,1,1,1
102,14907,81,0,ALASKA,200,0,0,MURKOWSKI,6,1,1,1,1,1,1,1,1,6,1,6,6,1,6,6,6,6,6,6,1,1,1,1,1,1,1,6,1,1,1,6,1,6,6,6,6,6,1,1,1,1,1,6,1,1,6,6,6,6,6,6,1,1,6,1,1,1,1,1,1,1,6,6,1,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,1,1,6,6,1,1,1,6,1,6,1,1,1,1,1,1,6,6,6,1,1,6,1,1,1,6,6,9,1,1,1,6,1,1,6,1,6,1,1,1,6,6,1,6,1,6,1,1,1,1,6,6,9,6,9,1,1,1,1,1,6,6,1,1,1,1,6,6,1,1,1,1,6,6,6,6,1,1,6,6,6,1,1,1,6,6,1,1,6,1,1,1,6,6,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,6,1,6,1,6,1,6,1,1,6,6,1,1,6,6,1,1,1,1,1,6,1,6,1,1,1,6,6,1,1,1,1,1,1,6,1,6,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,6,1,6,1,1,6,6,6,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,6,6,1,6,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,6,1,1,1,6,1,1,1,1,6,1,6,1,1,1,6,6,1,1,1,6,6,6,6,1,6,6,6,1,1,6,1,1,6,1,1,1,1,6,6,1,1,1,1,1,1,6,1,6,1,1,6,1,1,6,6,6,6,6,1,6,6,6,6,6,6,6,6,1,1,6,1,1,1,6,1,1,1,6,6,1,6,1,1,1,6,1,1,1,6,6,6,1,1,6,6,6,1,6,1,1,6,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,9,1,1,1,1,6,1,1,1,6,6,1,1,6,1,1,1,1,6,1,6,1,1,6,6,1,6,1,1,1,1,1,1,1,6,1,1,6,9,9,1,1,6,1,1,1,1,1,1,1,1,9,9,9,9,6,6,6,1,1,6,1,6,1,6,1,1,1,1,6,1,6,6,1,6,1,1,1,6,6,1,6,6,1,1,1,9,9,9,9,9,9,9,9,1,6,6,1,6,1,1,1,1,6,1,1,6,1,1,6,6,1,1,1,9,9,9,9,9
102,14659,41,0,ALABAMA,100,0,0,SHELBY,6,1,1,1,1,1,1,1,1,6,1,6,6,1,1,6,1,1,1,1,6,6,6,1,6,6,1,6,1,1,1,6,1,6,6,6,1,1,6,1,1,1,6,1,1,1,1,6,6,6,6,1,1,1,6,1,1,1,1,1,1,1,6,1,1,6,6,6,1,1,1,1,1,6,6,1,1,1,1,1,1,1,6,1,6,1,1,1,1,1,6,6,6,6,1,1,6,1,6,6,1,1,1,1,1,6,6,1,1,1,1,1,1,6,6,1,6,6,1,6,1,1,6,1,1,1,1,6,6,1,1,6,6,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,6,1,6,1,1,6,1,1,1,6,1,6,6,1,1,1,1,1,6,6,1,1,1,6,6,6,1,1,1,1,1,6,6,1,1,1,1,6,6,1,6,1,1,1,1,1,6,1,6,6,1,1,6,6,1,1,1,1,6,6,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,6,1,1,1,6,1,1,1,1,1,6,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,6,1,6,1,6,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,6,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,1,1,6,6,6,6,1,6,6,6,6,1,6,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,6,6,6,1,6,6,6,6,1,1,6,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,6,6,1,1,1,6,1,6,1,1,1,1,1,1,1,1,1,6,1,1,6,1,6,6,6,6,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,1,1,6,1,1,1,1,1,1,1,6,1,1,1,1,6,1,1,1,1,1,1,6,1,6,6,6,1,6,6,1,1,1,1,1,1,1,1,1,6,1,6,1,1,6,6,1,6,6,6,1,1,1,1,1,6,1,1,6,6,1,6,1,6,6,1,6,6,1,1,6,1,6,6,1,6,1,1,1,1,6,1,6,1,1,1,1,1,6,1,1,1,6,1,6,1,1,6,6,6,6,1,6,1,1,6,1,1,6,1,1,1,6,1,6,1,6,1,6,6,6
102,14705,41,0,ALABAMA,100,0,0,HEFLIN,6,1,1,1,1,1,1,1,1,6,1,6,6,9,9,6,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,6,6,1,6,1,1,1,6,1,1,1,6,1,1,1,1,6,6,6,6,1,6,6,6,1,1,1,1,1,1,1,6,6,1,6,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,1,1,6,1,6,6,6,1,6,1,6,6,6,1,6,1,1,6,1,6,6,1,1,6,1,6,1,1,6,1,1,1,1,1,6,6,1,6,6,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,6,6,6,6,1,1,6,1,1,1,6,1,6,6,1,1,1,6,1,6,6,1,1,1,6,6,6,1,6,1,1,1,1,6,1,1,1,1,6,6,6,6,1,1,1,1,1,6,1,6,1,1,1,6,6,6,1,1,1,6,6,1,1,1,1,1,6,1,1,1,1,6,1,1,1,1,6,1,1,1,6,1,1,1,1,1,1,6,6,1,1,1,6,1,1,1,1,1,1,6,6,1,6,6,6,1,1,6,6,1,6,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,1,6,1,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,6,6,6,1,6,1,6,1,6,6,1,6,6,1,6,1,1,6,1,6,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,6,6,6,1,1,6,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,6,6,1,6,6,1,6,1,1,1,1,1,1,1,1,1,6,1,1,6,1,6,6,1,6,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,6,6,1,1,1,1,1,1,6,1,1,1,1,6,1,1,1,1,1,6,6,1,6,6,6,1,6,6,1,1,1,1,1,1,1,1,1,6,1,6,1,1,6,1,1,6,6,6,1,1,6,1,1,6,1,1,6,6,6,6,1,6,6,1,6,6,1,1,1,1,1,6,1,1,1,1,1,1,6,6,6,1,6,1,6,1,6,1,6,1,6,1,6,1,1,6,6,1,6,6,6,1,1,1,1,1,6,6,6,1,6,1,1,6,1,1,1,6,6
102,10791,42,0,ARKANSAS,100,0,0,PRYOR,1,6,1,1,1,1,1,1,1,6,1,6,6,1,1,1,1,1,1,1,1,6,1,1,6,6,1,6,1,1,1,1,6,1,6,6,1,1,1,1,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,1,1,6,1,6,6,1,6,6,1,1,1,1,6,1,6,1,1,1,6,6,6,1,6,6,1,6,6,1,1,1,9,9,9,9,9,1,6,1,1,9,9,9,1,1,1,6,1,1,1,1,1,6,1,6,1,1,1,1,1,6,1,1,1,1,6,1,1,1,6,6,1,1,1,6,1,6,6,6,1,1,1,6,6,1,6,1,9,1,6,9,9,9,9,9,9,9,9,1,1,1,6,6,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,9,6,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,6,1,1,6,9,6,6,1,1,6,6,6,1,1,1,1,1,1,1,1,6,1,6,1,1,1,1,1,9,9,1,6,1,6,6,9,1,1,1,6,1,1,6,1,6,6,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,9,9,1,6,6,6,1,1,1,1,6,1,1,1,1,1,1,1,6,6,1,1,9,6,1,6,6,1,1,1,1,6,1,6,6,1,1,1,9,1,1,1,1,1,6,1,1,6,1,1,6,1,1,7,1,1,1,1,6,1,1,1,1,6,6,1,6,1,1,1,1,1,1,6,1,1,1,1,6,1,6,1,1,1,1,1,6,6,9,9,6,6,1,6,1,6,6,6,1,6,1,1,1,6,1,1,6,6,6,6,1,6,1,6,1,1,1,1,6,9,9,1,1,1,1,1,1,1,6,6,1,1,6,6,6,1,6,1,6,9,9,1,6,1,1,6,6,1,6,6,1,1,1,1,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1
102,14300,42,0,ARKANSAS,100,0,0,BUMPERS,1,6,1,1,1,1,1,1,1,6,9,6,6,1,1,1,6,1,1,1,1,6,1,1,1,6,1,6,1,1,1,1,6,1,6,6,1,1,6,1,1,1,6,1,1,1,1,6,6,6,6,1,1,1,6,1,1,1,1,6,1,1,1,9,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,6,1,1,6,1,1,6,1,1,6,6,6,6,6,1,1,1,6,1,6,1,1,9,1,6,1,1,6,1,1,1,1,1,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,6,6,1,6,1,1,1,6,1,6,6,1,1,1,1,1,1,1,1,6,6,1,1,6,6,1,1,1,6,6,6,1,1,6,1,6,6,1,6,6,1,1,1,6,6,1,6,1,1,1,6,1,6,1,6,6,1,6,6,1,1,1,6,1,6,1,1,1,6,1,1,1,1,1,1,1,1,6,1,1,1,1,6,6,6,6,1,1,1,1,1,6,1,1,1,1,6,1,1,1,6,6,1,1,6,6,1,6,6,6,1,1,1,1,6,6,6,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,1,1,1,1,6,1,1,1,1,1,1,1,1,6,6,1,1,1,6,1,1,1,1,1,6,1,1,1,1,6,6,1,1,6,6,6,6,6,1,6,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,9,9,1,6,1,6,6,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,6,6,1,1,1,1,6,1,1,1,1,1,6,1,1,6,6,6,1,1,1,1,6,1,1,1,1,1,1,1,6,6,1,1,1,6,1,6,6,1,1,1,9,6,1,6,6,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,6,1,1,1,1,1,1,6,1,1,1,1,6,6,1,6,1,1,1,1,1,1,6,1,6,1,1,6,1,6,1,1,1,1,1,6,6,1,1,6,6,1,6,9,6,6,6,1,1,1,1,1,6,1,1,6,6,6,6,1,6,1,6,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,6,1,1,1,6,6,1,6,1,6,1,6,9,9,9,1,6,6,1,6,6,1,1,1,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1
102,14502,61,0,ARIZONA,100,0,0,DECONCINI,1,6,1,1,1,1,1,1,1,6,1,6,6,1,6,1,1,1,1,1,1,6,6,1,6,6,1,6,1,1,1,6,6,1,6,6,1,1,1,1,1,1,6,1,1,1,6,6,6,6,1,1,1,1,6,1,1,1,1,6,1,6,1,6,1,6,6,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,6,6,9,9,9,9,9,9,9,9,9,1,6,6,6,1,1,1,1,1,6,1,6,1,6,6,1,1,6,1,1,1,1,1,1,1,6,6,1,1,6,1,1,6,1,1,1,1,1,1,1,6,1,1,1,6,1,1,1,6,1,6,6,6,6,1,6,1,6,6,1,6,1,1,6,1,1,1,6,6,1,1,6,6,1,1,1,6,6,9,1,1,1,1,6,1,1,1,1,1,1,1,1,6,6,6,1,1,1,6,1,6,1,6,6,1,6,1,1,1,1,6,1,6,1,1,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,6,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,6,6,1,1,1,1,1,6,1,6,6,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,9,9,9,9,1,6,1,6,1,1,6,6,1,1,1,6,1,1,6,6,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,6,6,6,1,6,1,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,6,1,1,1,1,6,6,6,1,6,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,6,6,6,1,6,9,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,9,9,1,6,6,1,1,1,1,1,1,1,6,1,1,1,6,1,6,6,1,1,6,6,1,1,1,1,1,6,6,1,1,1,1,6,1,1,1,1,1,1,6,9,6,6,1,1,6,6,1,1,6,1,1,1,1,1,6,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,6,6,1,1,6,1,6,1,1,1,1,1,1,6,1,1,6,1,6,1,1,1,6,1,6,7,1,6,6,6,1,6,1,6,1,6,1,1,6,6,1,6,6,1,1,1,1,1,6,6,1,1,1,1,1,6,1,1,1,1,1,1
102,15039,61,0,ARIZONA,200,0,0,MCCAIN,6,1,1,1,1,1,1,1,1,6,1,6,6,1,6,6,9,9,9,9,1,1,1,1,1,1,1,6,1,1,1,6,1,6,1,6,6,6,6,1,1,1,6,1,1,1,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,6,6,6,1,1,6,1,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,1,6,1,6,1,6,6,6,1,6,1,1,6,6,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,6,6,6,1,1,1,6,1,1,6,1,6,1,1,1,6,6,1,6,6,6,1,1,1,1,1,6,6,6,1,1,1,6,1,1,1,6,6,6,1,1,6,6,1,1,1,1,6,6,1,6,1,1,1,6,6,1,1,1,6,1,6,1,6,1,1,1,6,6,1,1,1,1,1,6,6,1,1,6,1,1,1,1,1,6,6,1,6,1,6,1,6,6,1,6,1,1,1,6,6,1,1,1,1,1,6,1,6,1,1,1,6,1,1,1,1,1,1,1,6,6,6,6,6,1,1,1,6,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,6,1,6,1,1,6,1,6,1,6,1,1,6,1,6,6,1,1,1,1,1,6,1,9,1,1,1,1,1,6,6,6,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,6,1,6,1,1,1,6,1,1,6,1,6,6,6,6,1,6,6,6,6,1,1,1,1,6,1,1,1,1,6,6,1,1,1,1,1,1,6,1,6,6,9,1,1,1,6,6,6,1,6,1,6,6,1,1,6,1,6,6,1,1,6,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,6,6,1,6,6,6,1,1,6,6,6,6,6,1,1,6,1,6,1,1,6,1,6,1,1,6,1,1,1,1,1,1,1,6,1,9,1,1,6,1,6,1,1,1,1,6,1,1,6,1,6,1,1,1,6,6,1,1,6,6,1,6,6,1,1,1,1,1,1,6,1,1,6,1,1,1,1,6,6,1,1,1,1,1,1,1,1,6,1,1,6,6,6,1,6,6,1,6,1,6,6,1,1,1,1,6,9,6,1,6,1,1,1,6,6,1,6,1,6,1,1,1,6,1,1,6,9,9,9,1,1,1,6,1,1,1,1,6,6,1,1,6,1,1,6,6,1,1,6,1,1,1,6,6
102,12103,71,0,CALIFORNIA,100,0,0,CRANSTON,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,1,1,1,1,6,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,6,1,6,1,1,1,1,1,1,6,1,1,1,1,6,1,1,6,6,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,7,1,1,6,1,1,6,6,1,1,6,1,6,1,1,1,6,6,6,6,1,1,6,6,1,6,6,6,1,1,9,9,6,6,1,6,1,1,1,6,1,1,6,6,1,6,6,1,1,1,6,1,1,1,1,1,1,1,1,6,1,1,6,6,1,1,6,1,6,1,1,1,1,1,1,1,1,1,6,1,1,6,1,1,1,9,9,1,1,1,6,1,1,6,6,6,9,1,1,6,6,6,1,1,6,6,1,1,1,6,6,6,1,1,1,1,6,1,6,1,6,6,1,6,6,1,1,1,6,1,6,1,1,1,6,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,9,1,1,1,1,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,6,9,1,1,1,1,9,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,6,1,1,9,9,9,1,1,6,1,6,1,1,6,6,6,1,6,1,9,1,1,1,6,1,1,9,1,1,6,1,6,1,6,6,1,1,1,6,6,6,1,1,1,1,1,1,9,1,1,1,6,1,1,1,6,1,1,1,1,1,6,6,6,6,1,1,1,6,6,6,6,1,9,9,9,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,6,6,1,6,6,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,6,6,1,6,1,6,6,1,9,6,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,9,9,9,9,1,6,1,1,1,1,1,1,1,1,6,6,1,1,6,6,6,1,1,6,1,1,1,1,1,6,1,9,9,6,6,6,6,1,6,6,6,6,9,9,1,1,6,1,1,1,1,6,6,1,6,1,6,1,1,1,1,6,1,1,1,1,6,1,6,1,1,1,1,1,6,1,6,6,6,9,9,9,9,9,9,9,9,1,6,6,1,6,6,6,1,1,1,1,6,6,1,1,1,1,1,6,1,1,1,1,1,1
