Source,Target,Type,Weight
A,AAL,Undirected,-0.022949
A,AAP,Undirected,0.327420
A,AAPL,Undirected,0.334945
A,ABBV,Undirected,0.440359
A,ABC,Undirected,0.379449
A,ABT,Undirected,0.547642
A,ACN,Undirected,0.538573
A,ADBE,Undirected,0.492955
A,ADI,Undirected,0.516105
A,ADM,Undirected,0.384945
A,ADP,Undirected,0.512537
A,ADS,Undirected,0.457001
A,ADSK,Undirected,0.506652
A,AEE,Undirected,0.201527
A,AEP,Undirected,0.195819
A,AES,Undirected,0.371680
A,AET,Undirected,0.408183
A,AFL,Undirected,0.485139
A,AGN,Undirected,-0.029724
A,AIG,Undirected,0.532381
A,AIV,Undirected,0.288048
A,AIZ,Undirected,0.452509
A,AJG,Undirected,0.500065
A,AKAM,Undirected,0.455939
A,ALB,Undirected,0.464539
A,ALGN,Undirected,0.475863
A,ALK,Undirected,0.376147
A,ALL,Undirected,0.459740
A,ALLE,Undirected,-0.032441
A,ALXN,Undirected,0.422632
A,AMAT,Undirected,0.293376
A,AMD,Undirected,0.140008
A,AME,Undirected,0.573247
A,AMG,Undirected,0.578809
A,AMGN,Undirected,0.520963
A,AMP,Undirected,0.591021
A,AMZN,Undirected,0.450127
A,AN,Undirected,0.463572
A,ANSS,Undirected,0.532398
A,ANTM,Undirected,0.394862
A,AON,Undirected,0.504568
A,APA,Undirected,0.377693
A,APC,Undirected,0.401039
A,APD,Undirected,0.507069
A,APH,Undirected,0.571010
A,ARE,Undirected,0.295422
A,ARNC,Undirected,0.403184
A,ATVI,Undirected,0.379067
A,AVB,Undirected,0.267337
A,AVGO,Undirected,-0.007682
A,AVY,Undirected,0.518790
A,AWK,Undirected,0.193892
A,AXP,Undirected,0.510858
A,AYI,Undirected,0.449149
A,AZO,Undirected,0.354958
A,BA,Undirected,0.459617
A,BAC,Undirected,0.501273
A,BAX,Undirected,0.467673
A,BBBY,Undirected,0.359667
A,BBT,Undirected,0.520526
A,BBY,Undirected,0.307460
A,BCR,Undirected,0.449779
A,BDX,Undirected,0.537272
A,BEN,Undirected,0.547160
A,BF,Undirected,0.407171
A,BHI,Undirected,0.375778
A,BIIB,Undirected,0.430596
A,BK,Undirected,0.553144
A,BLK,Undirected,0.603787
A,BLL,Undirected,0.483925
A,BMY,Undirected,0.426567
A,BRK,Undirected,0.549542
A,BSX,Undirected,0.481080
A,BWA,Undirected,0.501454
A,BXP,Undirected,0.364689
A,C,Undirected,0.543678
A,CA,Undirected,0.503926
A,CAG,Undirected,0.294165
A,CAH,Undirected,0.484588
A,CAT,Undirected,0.481556
A,CB,Undirected,0.514359
A,CBG,Undirected,0.505083
A,CBOE,Undirected,0.263593
A,CBS,Undirected,0.438621
A,CCI,Undirected,0.045800
A,CCL,Undirected,0.283803
A,CELG,Undirected,0.461523
A,CERN,Undirected,0.447281
A,CF,Undirected,0.299436
A,CFG,Undirected,0.010003
A,CHD,Undirected,0.332396
A,CHK,Undirected,0.265755
A,CHRW,Undirected,0.396275
A,CHTR,Undirected,0.107713
A,CI,Undirected,0.375520
A,CINF,Undirected,0.510967
A,CL,Undirected,0.385087
A,CLX,Undirected,0.243725
A,CMA,Undirected,0.498383
A,CMCSA,Undirected,0.441410
A,CME,Undirected,0.381514
A,CMG,Undirected,0.281725
A,CMI,Undirected,0.515956
A,CMS,Undirected,0.183461
A,CNC,Undirected,0.367240
