Source,Target,Type,Weight
MMM,ABT,Undirected,0.144489
MMM,ABBV,Undirected,0.084798
MMM,ACN,Undirected,0.191729
MMM,ATVI,Undirected,0.158130
MMM,AYI,Undirected,0.235221
MMM,ADBE,Undirected,0.168660
MMM,AMD,Undirected,0.088919
MMM,AAP,Undirected,1.000000
MMM,AES,Undirected,0.119180
MMM,AET,Undirected,0.131161
MMM,AMG,Undirected,0.231815
MMM,AFL,Undirected,0.195760
MMM,A,Undirected,0.128703
MMM,APD,Undirected,0.216730
MMM,AKAM,Undirected,0.199608
MMM,ALK,Undirected,0.189284
MMM,ALB,Undirected,0.171145
MMM,ARE,Undirected,0.161069
MMM,ALXN,Undirected,0.038888
MMM,ALGN,Undirected,0.169885
MMM,ALLE,Undirected,0.283425
MMM,AGN,Undirected,0.074474
MMM,ADS,Undirected,0.181673
MMM,LNT,Undirected,0.066094
MMM,ALL,Undirected,0.169530
MMM,GOOGL,Undirected,0.153862
MMM,GOOG,Undirected,0.156350
MMM,MO,Undirected,0.051418
MMM,AMZN,Undirected,0.139468
MMM,AEE,Undirected,0.078983
MMM,AAL,Undirected,0.166466
MMM,AEP,Undirected,0.060479
MMM,AXP,Undirected,0.213156
MMM,AIG,Undirected,0.174640
MMM,AMT,Undirected,NA
MMM,AWK,Undirected,0.065885
MMM,AMP,Undirected,0.221271
MMM,ABC,Undirected,0.121520
MMM,AME,Undirected,0.251973
MMM,AMGN,Undirected,0.086305
MMM,APH,Undirected,0.195612
MMM,APC,Undirected,0.149745
MMM,ADI,Undirected,0.160378
MMM,ANSS,Undirected,0.217006
MMM,ANTM,Undirected,0.141245
MMM,AON,Undirected,0.177890
MMM,APA,Undirected,0.110222
MMM,AIV,Undirected,0.136862
MMM,AAPL,Undirected,0.130879
MMM,AMAT,Undirected,0.175350
MMM,ADM,Undirected,0.180938
MMM,ARNC,Undirected,0.139598
MMM,AJG,Undirected,0.225822
MMM,AIZ,Undirected,0.203135
MMM,T,Undirected,0.160945
MMM,ADSK,Undirected,0.157209
MMM,ADP,Undirected,0.245933
MMM,AN,Undirected,0.313546
MMM,AZO,Undirected,0.459010
MMM,AVB,Undirected,0.087490
MMM,AVY,Undirected,0.156129
MMM,BHI,Undirected,0.116234
MMM,BLL,Undirected,0.176174
MMM,BAC,Undirected,0.191788
MMM,BK,Undirected,0.183439
MMM,BCR,Undirected,0.155284
MMM,BAX,Undirected,0.082529
MMM,BBT,Undirected,0.184457
MMM,BDX,Undirected,0.126436
MMM,BBBY,Undirected,0.301623
MMM,BRK.B,Undirected,0.200243
MMM,BBY,Undirected,0.242405
MMM,BIIB,Undirected,0.088674
MMM,BLK,Undirected,0.215200
MMM,HRB,Undirected,0.128590
MMM,BA,Undirected,0.146503
MMM,BWA,Undirected,0.262147
MMM,BXP,Undirected,0.140060
MMM,BSX,Undirected,0.180232
MMM,BMY,Undirected,0.017993
MMM,AVGO,Undirected,NA
MMM,BF.B,Undirected,0.146163
MMM,CHRW,Undirected,0.185986
MMM,CA,Undirected,0.197770
MMM,COG,Undirected,0.088382
MMM,CPB,Undirected,0.118295
MMM,COF,Undirected,0.226454
MMM,CAH,Undirected,0.126111
MMM,CBOE,Undirected,0.135130
MMM,KMX,Undirected,0.308694
MMM,CCL,Undirected,0.195819
MMM,CAT,Undirected,0.174683
MMM,CBG,Undirected,0.197562
MMM,CBS,Undirected,0.158291
MMM,CELG,Undirected,0.091770
MMM,CNC,Undirected,0.168038
MMM,CNP,Undirected,0.112616
MMM,CTL,Undirected,0.146696
MMM,CERN,Undirected,0.124409
MMM,CF,Undirected,0.077465
MMM,SCHW,Undirected,0.203628
MMM,CHTR,Undirected,NA
MMM,CHK,Undirected,0.161053
MMM,CVX,Undirected,0.161551
MMM,CMG,Undirected,0.084202
MMM,CB,Undirected,0.151700
MMM,CHD,Undirected,0.113184
MMM,CI,Undirected,0.111361
MMM,XEC,Undirected,0.135855
MMM,CINF,Undirected,0.230054
MMM,CTAS,Undirected,0.241826
MMM,CSCO,Undirected,0.183706
MMM,C,Undirected,0.203017
MMM,CFG,Undirected,0.172881
MMM,CTXS,Undirected,0.232407
MMM,CLX,Undirected,0.098004
MMM,CME,Undirected,0.137736
MMM,CMS,Undirected,0.056603
MMM,COH,Undirected,0.197133
MMM,KO,Undirected,0.149756
MMM,CTSH,Undirected,0.186194
MMM,CL,Undirected,0.126886
MMM,CMCSA,Undirected,0.168119
MMM,CMA,Undirected,0.200752
MMM,CAG,Undirected,0.151752
MMM,CXO,Undirected,0.129487
MMM,COP,Undirected,0.148360
MMM,ED,Undirected,-0.005568
MMM,STZ,Undirected,0.127769
MMM,COO,Undirected,0.157860
MMM,GLW,Undirected,0.190535
MMM,COST,Undirected,0.154099
MMM,COTY,Undirected,0.109823
MMM,CCI,Undirected,0.159376
MMM,CSRA,Undirected,0.156396
MMM,CSX,Undirected,0.168225
MMM,CMI,Undirected,0.210816
MMM,CVS,Undirected,0.142594
MMM,DHI,Undirected,0.228975
MMM,DHR,Undirected,0.165946
MMM,DRI,Undirected,0.234580
MMM,DVA,Undirected,0.171619
MMM,DE,Undirected,0.157009
MMM,DLPH,Undirected,0.211083
MMM,DAL,Undirected,0.199242
MMM,XRAY,Undirected,0.173025
MMM,DVN,Undirected,0.103544
MMM,DLR,Undirected,0.053904
MMM,DFS,Undirected,0.275501
MMM,DISCA,Undirected,0.158482
MMM,DISCK,Undirected,0.175281
MMM,DISH,Undirected,0.147672
MMM,DG,Undirected,0.290301
MMM,DLTR,Undirected,0.277709
MMM,D,Undirected,0.059444
MMM,DOV,Undirected,0.194960
MMM,DOW,Undirected,0.172200
MMM,DPS,Undirected,0.139855
MMM,DTE,Undirected,0.073158
MMM,DD,Undirected,0.154491
MMM,DUK,Undirected,0.049731
MMM,DXC,Undirected,NA
MMM,ETFC,Undirected,0.186272
MMM,EMN,Undirected,0.204508
MMM,ETN,Undirected,0.231075
MMM,EBAY,Undirected,0.140286
MMM,ECL,Undirected,0.222811
MMM,EIX,Undirected,0.077406
MMM,EW,Undirected,0.117894
MMM,EA,Undirected,0.125104
MMM,EMR,Undirected,0.216552
MMM,ETR,Undirected,0.056066
MMM,EVHC,Undirected,NA
MMM,EOG,Undirected,0.109999
MMM,EQT,Undirected,0.144430
MMM,EFX,Undirected,0.196008
MMM,EQIX,Undirected,0.155935
MMM,EQR,Undirected,0.123402
MMM,ESS,Undirected,0.078264
MMM,EL,Undirected,0.150294
MMM,ES,Undirected,0.060745
MMM,RE,Undirected,0.149005
MMM,EXC,Undirected,0.096898
MMM,EXPE,Undirected,0.177497
MMM,EXPD,Undirected,0.218526
MMM,ESRX,Undirected,0.205159
MMM,EXR,Undirected,0.045759
MMM,XOM,Undirected,0.101648
MMM,FFIV,Undirected,0.189640
MMM,FB,Undirected,0.138461
MMM,FAST,Undirected,0.229012
MMM,FRT,Undirected,0.140757
MMM,FDX,Undirected,0.198482
MMM,FIS,Undirected,0.209957
MMM,FITB,Undirected,0.200613
MMM,FE,Undirected,0.054632
MMM,FISV,Undirected,0.232276
MMM,FLIR,Undirected,0.184031
MMM,FLS,Undirected,0.202035
MMM,FLR,Undirected,0.208071
MMM,FMC,Undirected,0.176627
MMM,FL,Undirected,0.269801
MMM,F,Undirected,0.249643
MMM,FTV,Undirected,NA
MMM,FBHS,Undirected,0.187761
MMM,BEN,Undirected,0.205078
MMM,FCX,Undirected,0.151832
MMM,GPS,Undirected,0.243458
MMM,GRMN,Undirected,0.207893
MMM,IT,Undirected,0.180741
MMM,GD,Undirected,0.193194
MMM,GE,Undirected,0.220234
MMM,GGP,Undirected,0.186638
MMM,GIS,Undirected,0.161226
MMM,GM,Undirected,0.201759
MMM,GPC,Undirected,0.359406
MMM,GILD,Undirected,0.079019
MMM,GPN,Undirected,0.202010
MMM,GS,Undirected,0.184368
MMM,GT,Undirected,0.195599
MMM,GWW,Undirected,0.182265
MMM,HAL,Undirected,0.147483
MMM,HBI,Undirected,0.192675
MMM,HOG,Undirected,0.168480
MMM,HRS,Undirected,0.185375
MMM,HIG,Undirected,0.182577
MMM,HAS,Undirected,0.151819
MMM,HCA,Undirected,0.135529
MMM,HCP,Undirected,0.103469
MMM,HP,Undirected,0.176993
MMM,HSIC,Undirected,0.176431
MMM,HSY,Undirected,0.143970
MMM,HES,Undirected,0.147895
MMM,HPE,Undirected,0.167784
MMM,HLT,Undirected,0.167408
MMM,HOLX,Undirected,0.162967
MMM,HD,Undirected,0.250503
MMM,HON,Undirected,0.222456
MMM,HRL,Undirected,0.128427
MMM,HST,Undirected,0.189861
MMM,HPQ,Undirected,0.176971
MMM,HUM,Undirected,0.113494
MMM,HBAN,Undirected,0.183167
MMM,IDXX,Undirected,0.083936
MMM,INFO,Undirected,0.144490
MMM,ITW,Undirected,0.201177
MMM,ILMN,Undirected,0.122142
MMM,IR,Undirected,0.285350
MMM,INTC,Undirected,0.171161
MMM,ICE,Undirected,0.186293
MMM,IBM,Undirected,0.158305
MMM,INCY,Undirected,0.074873
MMM,IP,Undirected,0.200835
MMM,IPG,Undirected,0.197787
MMM,IFF,Undirected,0.168345
MMM,INTU,Undirected,0.132287
MMM,ISRG,Undirected,0.111954
MMM,IVZ,Undirected,0.265166
MMM,IRM,Undirected,0.142047
MMM,JEC,Undirected,0.219019
MMM,JBHT,Undirected,0.198140
MMM,SJM,Undirected,0.136909
MMM,JNJ,Undirected,0.081744
MMM,JCI,Undirected,0.225595
MMM,JPM,Undirected,0.198604
MMM,JNPR,Undirected,0.217051
MMM,KSU,Undirected,0.125741
MMM,K,Undirected,0.158692
MMM,KEY,Undirected,0.187845
MMM,KMB,Undirected,0.101765
MMM,KIM,Undirected,0.160016
MMM,KMI,Undirected,0.122792
MMM,KLAC,Undirected,0.143081
MMM,KSS,Undirected,0.226622
MMM,KHC,Undirected,0.169026
MMM,KR,Undirected,0.095279
MMM,LB,Undirected,0.249141
MMM,LLL,Undirected,0.137322
MMM,LH,Undirected,0.190676
MMM,LRCX,Undirected,0.152589
MMM,LEG,Undirected,0.210477
MMM,LEN,Undirected,0.217678
MMM,LVLT,Undirected,0.180063
MMM,LUK,Undirected,0.174285
MMM,LLY,Undirected,0.077879
MMM,LNC,Undirected,0.226316
MMM,LKQ,Undirected,0.253604
MMM,L,Undirected,0.208721
MMM,LOW,Undirected,0.295395
MMM,LYB,Undirected,0.167179
MMM,MTB,Undirected,0.194853
MMM,MAC,Undirected,0.158738
MMM,M,Undirected,0.237993
MMM,MNK,Undirected,0.108052
MMM,MRO,Undirected,0.122691
MMM,MPC,Undirected,0.179688
MMM,MAR,Undirected,0.168997
MMM,MMC,Undirected,0.183453
MMM,MLM,Undirected,0.224944
MMM,MAS,Undirected,0.236505
MMM,MA,Undirected,0.204478
MMM,MAT,Undirected,0.134135
MMM,MKC,Undirected,0.141735
MMM,MCD,Undirected,0.160098
MMM,MCK,Undirected,0.114678
